,Clusters,hsa_mir_375,hsa_mir_5698,hsa_mir_205,hsa_mir_149,hsa_mir_129_1,hsa_mir_129_2,hsa_mir_6510,hsa_mir_204,hsa_mir_944
TCGA-93-A4JO,C3,5584.994827,0.466057,323.210574,44.741478,0.466057,0.699086,0.932114,14.21474,5.592685
TCGA-93-A4JP,C3,11920.00192,0.687151,2337.686433,112.005552,2.748603,1.030726,0.687151,5.497205,1.030726
TCGA-93-A4JQ,C3,6764.859417,0,2800.167892,73.028615,0.245888,0.245888,0.98355,1.475326,15.982693
TCGA-94-7033,C4,2326.962408,1.897238,6046.971818,717.155964,1.185774,1.422929,13.99213,5.928869,57.628604
TCGA-94-7557,C4,5801.166308,0.268809,21241.55335,207.789331,1.075236,0.806427,5.913797,1.612854,79.836263
TCGA-94-7943,C4,2058.727017,0.464462,6396.103723,62.005653,7.431389,5.573542,5.341311,3.947925,48.53626
TCGA-94-8035,C4,7126.168166,2.000819,34953.56348,520.713232,1.500615,2.000819,111.545678,3.251331,888.613887
TCGA-94-8490,C5,226.61737,0.57299,16867.09364,202.551809,4.297422,6.302885,24.638551,66.753284,138.949968
TCGA-94-8491,C5,2401.643278,0,16902.95247,46.200073,8.365445,8.365445,26.427202,5.703713,97.343363
TCGA-94-A4VJ,C5,1865.443781,0.743205,18473.83907,564.092363,0.371602,0.371602,10.900336,0.247735,95.997273
TCGA-94-A5I4,C4,3440.427936,0.881107,21767.44716,489.014215,60.796362,48.75457,39.943503,14.097707,217.339651
TCGA-94-A5I6,C5,334.893892,1.206825,9416.653056,442.703577,5.229574,6.034124,1.206825,0.201137,346.761003
TCGA-95-7039,C2,17590.01019,11.45183,11.21325,55.589089,1.908638,1.192899,1.192899,5.248755,0.715739
TCGA-95-7043,C2,8864.015594,1.71807,10.67658,34.975003,2.699825,2.454386,0,0.122719,0
TCGA-95-7567,C2,11939.39512,1.787216,13.106248,13.106248,0,0.397159,0.19858,0.19858,0.595739
TCGA-95-7944,C3,8068.105184,1.239674,6.198368,7.128123,0.309918,0.619837,0.309918,6.198368,0.619837
TCGA-95-7947,C5,3791.933379,5.206818,1313.21419,133.732998,4.658731,3.836602,1.644258,2.192344,1.644258
TCGA-95-7948,C2,7003.435366,13.166855,924.786634,36.985548,3.254728,2.367075,0,0.591769,1.479422
TCGA-95-A4VK,C1,24216.15444,7.538728,4.020655,14.323584,1.256455,0.753873,0.251291,2.512909,0.251291
TCGA-95-A4VN,C2,9472.214952,2.550033,161.347567,68.155438,0.695464,0.463642,0.695464,3.477318,2.318212
TCGA-95-A4VP,C3,121384.3677,2.490129,13.004006,3.873534,0.691702,0.276681,0,21.027754,1.521745
TCGA-96-7544,C4,2489.649928,0.417236,13784.24077,22.948005,2.503419,4.798219,345.263167,3.755128,202.568299
TCGA-96-A4JK,C4,339.866506,0.183019,10282.01416,207.726701,26.903811,29.283059,1.647172,92.790694,111.641663
TCGA-96-A4JL,C5,1457.692698,0.122629,14477.35211,308.657569,3.065729,2.084696,17.168081,2.9431,15.696531
TCGA-97-7546,C3,15275.13654,4.04408,15.69103,10.676371,10.999897,11.323424,7.764633,2.426448,1.132342
TCGA-97-7552,C3,11877.32308,0.452584,69.547135,3.168091,1.05603,0.754307,3.620675,3.168091,1.810338
TCGA-97-7553,C3,4036.081883,2.838028,60.814895,12.162979,1.621731,1.216298,0.810865,1.419014,3.85161
TCGA-97-7554,C2,4899.256876,2.946567,2.65191,5.598477,0,0.589313,3.830537,1.76794,1.76794
TCGA-97-7937,C2,4795.454026,10.983769,10.390051,65.308895,1.484293,0.890576,0.296859,0,0.890576
TCGA-97-7938,C3,10495.54052,0.692699,54.723201,12.006778,1.385397,0.923598,0.461799,1.616297,3.001695
TCGA-97-7941,C3,29839.91327,2.750086,449.744824,35.962662,0.84618,1.26927,3.173176,14.808155,0.84618
TCGA-97-8179,C1,26823.67386,15.38664,22.139051,27.341728,1.771124,2.878077,0,2.767381,0.442781
TCGA-97-A4M0,C2,42827.18529,2.786545,29.568339,17.183695,0,0.619232,0.309616,1.857697,0.77404
TCGA-97-A4M2,C3,17840.72796,7.223844,196.849754,27.089416,5.056691,4.334307,1.444769,7.946229,1.083577
TCGA-97-A4M5,C3,7764.474502,2.850883,160.599735,9.122825,1.71053,1.140353,0.950294,4.561413,1.71053
TCGA-97-A4M6,C3,12576.61296,2.184984,229.26727,18.416295,0.15607,0,0.936422,2.809265,0.468211
TCGA-97-A4M7,C2,29137.13812,0.839252,128.615312,10.280832,0.839252,0.839252,3.147194,5.664949,1.46869
TCGA-98-7454,C3,3440.450488,0.929684,3275.276635,12.705681,2.479157,1.859368,0,4.338525,13.635365
TCGA-98-A538,C4,192.778028,0,7944.334134,335.439464,0.284753,0.284753,60.93722,0.569507,428.838568
TCGA-98-A539,C4,1909.030191,0.177254,7476.060017,326.679911,1.59529,0.709018,1.240781,1.063527,358.231199
TCGA-98-A53A,C4,1290.091762,1.010648,51877.55599,1154.159649,38.909936,40.931231,103.591387,24.255544,905.034996
TCGA-98-A53B,C4,1223.611122,0,12254.87158,95.141837,2.177542,1.842536,17.58784,2.345045,119.764812
TCGA-98-A53C,C3,8744.403037,0.3681,486.628394,20.613608,2.944801,2.392651,0.18405,9.386554,6.809853
TCGA-98-A53H,C3,12968.14689,0.349456,1572.902603,43.682032,0.698913,0.524184,1.747281,8.736406,24.112482
TCGA-98-A53J,C5,921.415386,0.235777,30325.36479,634.946683,11.081505,9.902622,13.203496,4.008204,87.708936
TCGA-99-7458,C2,14906.88539,1.506221,41.044534,5.836608,31.818928,43.115589,2.635888,1.694499,1.317944
TCGA-99-8028,C3,6576.644048,5.41399,206.633942,14.437306,0,0.451166,1.353497,2.706995,1.804663
TCGA-J2-8192,C3,20938.43162,7.64727,4070.001042,41.74996,0.206683,0.826732,10.954197,1.446781,4.753708
TCGA-J2-8194,C1,27411.6206,3.142912,49.429433,38.000662,26.286172,28.000488,1.428596,0.285719,0.571439
TCGA-J2-A4AD,C1,8925.977058,0.695142,1988.455074,292.4812,0.868928,1.042714,4.170855,5.908711,2.432999
TCGA-J2-A4AG,C2,13577.74218,1.561577,8.328413,6.072801,0.520526,0.173509,16.656826,4.164206,0.173509
TCGA-L3-A4E7,C3,4093.356863,0.516903,20530.88032,158.172396,1.292258,1.292258,21.193033,0.775355,133.361039
TCGA-L3-A524,C5,271.013596,1.181402,14880.22948,207.454173,15.830785,20.320113,0.945122,6.37957,400.022683
TCGA-L4-A4E5,C2,8466.10524,64.161354,26.129058,22.935507,1.741937,2.612906,0.870969,0.580646,0.290323
TCGA-L4-A4E6,C3,9092.139621,0.984424,206.72903,10.336451,0.984424,0.984424,0.984424,5.906544,1.968848
TCGA-L9-A443,C2,7581.781044,5.829422,43.985636,107.579326,3.709632,6.359369,0.176649,4.592878,0
TCGA-L9-A444,C2,6085.302609,8.45943,3.658132,14.861161,0.228633,0.6859,0,0.457267,0.228633
TCGA-L9-A50W,C2,36228.30002,11.978533,58.733452,21.831842,6.955277,9.660107,0.966011,11.592129,2.70483
